Parti_No,Gramaj
1,499.19
1,501.3
1,501.46
1,500.51
1,498.51
2,499.22
2,498.05
2,501.38
2,500.26
2,501.13
3,499.11
3,502.77
3,502.73
3,499.81
3,498.33
4,498.98
4,500.02
4,499.91
4,499.01
4,500.46
5,499.39
5,498.08
5,499.57
5,499.9
5,501.5
6,498.8
6,500.14
6,500.41
6,496.8
6,500.61
7,498.56
7,499.51
7,503.72
7,502.31
7,501.24
8,499.76
8,498.71
8,500.6
8,499.66
8,498.03
9,499.97
9,498.68
9,501.66
9,499.3
9,501
10,499.2
10,500.06
10,500.23
10,499.52
10,503.22
11,501.2
11,501.79
11,503.15
11,500.58
11,501.57
12,497.94
12,498.56
12,496
12,498.8
12,499.32
13,498.9
13,501.67
13,498.72
13,498.86
13,500.15
14,498.73
14,500.84
14,499.48
14,502.06
14,501.11
15,498.93
15,501.21
15,501.47
15,501.41
15,496.61
16,499.23
16,497.02
16,502.52
16,500.54
16,499.62
17,498.28
17,498.95
17,499.03
17,501.17
17,500.47
18,509.69
18,506.31
18,500.74
18,508.96
18,509.06
19,500.2
19,500.9
19,499.99
19,500.13
19,499.83
20,497.96
20,498.82
20,496.49
20,500.61
20,499.08
21,500.05
21,501.06
21,498.7
21,499.57
21,500.77
22,497.75
22,497.82
22,498.8
22,497.53
22,502.27
23,501.09
23,500.31
23,501.63
23,500.94
23,498.69
24,502.88
24,500.15
24,500.76
24,501.54
24,498.61
25,489.33
25,489.05
25,491.91
25,494.61
25,489.26
26,500.05
26,499.62
26,498.41
26,498.71
26,499.47
27,501.24
27,499.45
27,500.09
27,500.84
27,499.74
28,501.57
28,501.52
28,498.58
28,499.98
28,499.47
29,497.48
29,498.43
29,501.03
29,500.01
29,499.31
30,499.15
30,502.19
30,498.53
30,498.31
30,499.95
